"Akibatnya , perlakuan mengenai hak atas bunga tabungan tersebut berbeda-beda antardaerah","Akibaté, perawatan hak kanggo kapentingan tabungan beda-beda ing antarane wilayah"
"Sementara itu , fasilitas pendidikan tinggi terdekat berjarak 8 km , dekat pusat kota","Sementara punika , fasilitas pamucalan inggil paling celak ngantawis 8 km , celak puser kitha "
Obat-obatan tanpa resep dokter pun tersedia di kios-kios yang ada di desa,jampi-jampen tanpa resep dokter pun sampun dicawis ing kios-kios ingkang enten ing dhusun 
Akses masyarakat untuk keluar dan masuk desa cukup memadai,Akses masyarakat konjuk medal uga mlebet dhusun cekap ngenteni 
"Transportasi umum seperti minibus dan ojek tersedia setiap hari , sedikitnya selama delapan jam","Transportasi umum kados minibus uga ojek sampun dicawis saben dinten , sekedhikipun salebetipun wolu jam "
"Dalam hal sanitasi , kebanyakan warga masyarakat desa memanfaatkan air sungai di sebelah barat desa untuk mandi","lebet hal sanitasi , kekathahen warga masyarakat dhusun ngginakaken toya lepen ing sisih kilen dhusun konjuk adus "
"Sebaliknya , hampir semua anggota masyarakatnya mengkonsumsi air minum dari PAM","sawalikipun , hampir sedaya anggota masyarakatnyamengkonsumsi toya inum saking PAM "
"Untuk sumber energi , kebanyakan masyarakat desa menggunakan kayu bakar untuk memasak , disusul minyak tanah dan kompor gas","konjuk sumber energi , kekathahen masyarakat dhusun ngginakaken kajeng besem konjuk mangsak , disusul lisah siti uga kompor gas "
"Namun , di desa ini tidak terdapat kantor pos , dan kantor pos terdekat berjarak 6 km dari desa","nanging , ing dhusun niki mboten enten kantor pos , uga kantor pos paling celak ngantawis 6 km saking dhusun "
2.5 Wilayah RT 4 RW 1 Desa Kedondong RT 4 RW 1 merupakan satu dari tujuh RT yang ada di RW 1 Desa Kedondong,2.5 Wilayah RT 4 RW 1 dhusun Kedondong RT 4 RW 1ngrupikaken setunggal saking pitu RT ingkang enten ing RW 1dhusun Kedondong 
Wilayah RT 4 menempati areal tanah datar yang berbentuk empat persegi panjang dengan panjang 165 meter dan lebar 45 meter,Wilayah RT 4 ngenggeni areal siti waradin ingkang nduwe bentuk sekawan persegi panjang kaliyan panjang 165 meter uga wiyar 45 meter 
Lokasi RT 4 RW 1 dekat dengan kantor desa dan masjid desa,Lokasi RT 4 RW 1 celak kaliyan kantor dhusun uga masjiddhusun 
Kepala desa saat ini merupakan salah satu warga RT ini,sirah dhusun kala niki ngrupikaken salah satunggal warga RT niki 
Pekerjaan masyarakat yang ada di RT ini pada umumnya adalah bertani,padamelan masyarakat ingkang enten ing RT niki ing umumnyayaiku sesabin 
"Pekerjaan lainnya adalah sebagai aparat desa , pedagang , atau pekerjaan di bidang jasa seperti sopir angkutan umum","padamelan bentenipun yaiku dados aparat dhusun , panggramen , utawi padamelan ing bidang jasa kados sopir usungan umum "
Akses masyarakat terhadap pendidikan untuk tingkat SD masih mudah dilakukan karena adanya SD di desa dan tidak jauh dari RT 4 ini,Akses masyarakat majeng pamucalan konjuk tingkat SD taksih gampil dipuntumindakake amargi entenipun SD ing dhusun uga mboten tebih saking RT 4 niki 
2.6 Wilayah RT 6 RW 3 Desa Kedondong RT 6 RW 3 merupakan satu dari enam RT yang ada di RW 3 Desa Kedondong,2.6 Wilayah RT 6 RW 3 dhusun Kedondong RT 6 RW 3ngrupikaken setunggal saking enem RT ingkang enten ing RW 3dhusun Kedondong 
Jalan desa ini memiliki lebar jalan 5 meter yang terbuat dari makadam yang dibangun pada 1988,radin dhusun niki nggadhahi wiyar radin 5 meter ingkang kedamel saking makadam ingkang dipunwungu ing 1988 
Mata pencaharian masyarakat RT 6 RW 3 pada umumnya adalah bertani dan masyarakat desa mengenal warga RW 3 sebagai petani bawang,mripat pencaharian masyarakat RT 6 RW 3 ing umumnya yaiku sesabin uga masyarakat dhusun nepang warga RW 3 dados petani bawang 
"Selain bertani , beberapa warganya ada yang bekerja sebagai aparat desa , guru , ustad , atau pedagang","kajawi sesabin , beberapa warganya enten ingkang nyambut damel dados aparat dhusun , guru , ustad , utawi panggramen "
"Selain itu , terdapat enam keluarga yang membuka warung sembako di rumah mereka","kajawi punika , enten enem keluarga ingkang mbikak wande sembako ing griya piyambake sedaya "
"Mereka adalah bidan , guru , tokoh agama , tokoh masyarakat , pengurus Badan Perwakilan Desa (BPD) , dan aparat desa","piyambake sedaya yaiku bidan , guru , tokoh agami , tokohmasyarakat , pangera badan wakilan dhusun (BPD) , uga aparatdhusun "
Dalam FGD tingkat desa di Desa Cibulakan diperoleh empat klasifikasi kesejahteraan keluarga yaitu,lebet FGD tingkat dhusun ing dhusun Cibulakandipundeningaken sekawan klasifikasi kesejahteraan keluargayaiku
"(1) kaya atau beunghar , (2) menengah atau sedeng , (3) miskin , dan (4) sangat miskin atau miskin pisan","(1) sugih utawi beunghar , (2) madya utawi sedeng , (3) miskin ,uga (4) miskin sanget utawi miskin pisan "
Pendapatan ini bukanlah satu-satunya ukuran untuk membedakan kesejahteraan keluarga,pamanahan niki sanesa setunggal-setunggalipun ukuran konjuk mupuran kesejahteraan keluarga 
"Indikator kedua adalah pekerjaan dari (kepala) keluarga , yang masih terkait dengan indikator pertama (penghasilan)","Indikator kaping kalih yaiku padamelan saking (sirah) keluarga ,ingkang taksih terkait kaliyan indikator setunggal (pamikantukan) "
"Sementara itu , keluarga menengah pada umumnya memiliki sawah maksimal setengah hektar; ","Sementara punika , keluarga madya ing umumnya nggadhahi sabin maksimal sepalih hektar; "
ukuran atau luas rumah sekitar 100 meter persegi,ukuran utawi wiyar griya sekitar 100 meter persegi 
"Untuk keluarga menengah , walau rumahnya permanen tetapi tidak mewah; lantainya juga keramik; ada WC di dalam rumah; ","konjuk keluarga madya , walau griyanipun permanen nanging mboten mewah; lantainya ugi keramik; enten WC ing lebet griya; "
serta ukuran rumahnya sekitar 24 meter persegi (6 meter x 4 meter),mawi ukuran griyanipun sekitar 24 meter persegi (6 meter x 4meter) 
"Rumah keluarga miskin umumnya semi permanen , berbentuk rumah panggung yang terbuat dari papan atau bilik","griya keluarga miskin umumnya semi permanen , nduwe bentuk griya panggung ingkang kedamel saking papan utawi bilik "
"Tidak ada kamar mandi di dalam rumah , pemiliknya menggunakan kamar mandi/WC umum","mboten enten kamar adus ing lebet griya , panggadhahipun ngginakaken kamar adus/WC umum "
"Keluarga miskin dan sangat miskin memiliki pola makan yang hampir mirip , hanya berbeda sedikit pada frekuensi makannya","Keluarga miskin uga miskin sanget nggadhahi pola tedha ingkang hampir mirip , namung benten sekedhik ing frekuensimakanipun "
"keluarga miskin dua hingga tiga kali sehari , sedangkan keluarga sangat miskin hanya satu hingga dua kali sehari","keluarga miskin kalih ngantos kaping telu sadinten , sawegaken keluarga miskin sanget namung setunggal ngantos kaping kaling sadinten "
Mereka makan daging hanya saat Hari Raya Idul Fitri saja,piyambake sedaya tedha daging namung kala riyadi Idul Fitrikamawon 
"Pekerjaan mereka antara lain sebagai ustad , pengurus PKK , pengurus RT , guru sekolah , dan ibu rumah tangga","padamelan piyambake sedaya antawis benten dados ustad ,pangera PKK , pangera RT , guru sekolah , uga ibu griya tangga "
Dari hasil FGD di RT 1 RW 2 diperoleh empat klasifikasi kesejahteraan keluarga,saking pikantuk FGD ing RT 1 RW 2 dipundeningaken sekawan klasifikasi kesejahteraan keluarga 
"(1) kaya atau beunghar , (2) menengah atau sedeng , (3) miskin , dan (4) fakir miskin","(1) sugih utawi beunghar , (2) madya utawi sedeng , (3) miskin ,uga (4) fakir miskin "
Pakaian dari keluarga miskin pada umumnya adalah Ã¢â‚¬Âpakaian cimolÃ¢â‚¬Â atau pakaian bekas,rasukan saking keluarga miskin ing umumnya yaiku Ã¢â‚¬Ârasukan cimolÃ¢â‚¬Â utawi rasukan bekas 
Keluarga dalam kategori ini kalau memasak menggunakan kompor minyak tanah atau kayu bakar,Keluarga lebet kategori niki menawi mangsak ngginakaken kompor lisah siti utawi kajeng besem 
keluarga menengah berpenghasilan antara Rp750 ribu hingga Rp2 juta per bulan,keluarga madya berpenghasilan antawis Rp750 ewu ngantos Rp2 yuta saben wulan 
Mereka kadang disebut juga sebagai juragan,piyambake sedaya kadang kanaman ugi dados juragan 
Keluarga menengah pada umumnya memiliki usaha tetap atau bekerja sebagai pegawai negeri sipil golongan bawah,Keluarga madya ing umumnya nggadhahi upados tetap utawi nyambut damel dados pegawai negeri sipil tunggilan ngandhap 
"bekerja sebagai buruh tani yang bekerja secara musiman , dengan upah Rp10 ribu per hari","nyambut damel dados berah tani ingkang nyambut damel sacara musiman , kaliyan epah Rp10 ewu saben dinten "
Ada yang bekerja secara serabutan dan ada pula yang bekerja sebagai pembantu/buruh/kenek bangunan,enten ingkang nyambut damel sacara serabutan uga enten ugi ingkang nyambut damel dados rencang/berah/kenek wungon 
sementara anak-anak keluarga menengah pada umumnya bersekolah hingga tamat SMP,sementara anak-anak keluarga madya ing umumnya bersekolahngantos rampung SMP 
Anak-anak keluarga miskin rata-rata bersekolah hingga tamat SD dan beberapa ada yang tamat SMP,anak-anak keluarga miskin radin-radin bersekolah ngantos rampung SD uga beberapa enten ingkang rampung SMP 
Anak-anak keluarga fakir miskin hanya bersekolah maksimal hanya sampai sekolah dasar,anak-anak keluarga fakir miskin namung bersekolah maksimalnamung ngantos sekolah dasar 
"Dilihat dari indikator kesehatan , keluarga kaya umumnya berobat ke dokter umum dan rumah sakit , atau menggunakan obat warung","dipunningal saking indikator kesarasan , keluarga sugih umumnya njampi datheng dokter umum uga griya sakit , utawi ngginakaken jampi wande "
"Keluarga menengah berobat ke puskesmas , dokter , mantri kesehatan dan rumah sakit , atau membeli obat warung","Keluarga madya njampi datheng puskesmas , dokter , mantrikesarasan uga griya sakit , utawi tumbas jampi wande "
Keluarga fakir miskin menggunakan surat pengantar dari desa bila berobat,Keluarga fakir miskin ngginakaken serat panerna saking dhusun menawi njampi 
"Dilihat dari indikator pola makan , keluarga kaya pada umumnya makan tiga kali sehari dengan menu yang berbeda","dipunningal saking indikator pola tedha , keluarga sugih ing umumnya tedha kaping telu sadinten kaliyan ngula ingkang benten "
Pola makan keluarga miskin dan sangat miskin hampir mirip dengan perbedaan pada frekuensi makannya,Pola tedha keluarga miskin uga miskin sanget hampir miripkaliyan bedan ing frekuensi makanipun
Mereka makan daging hanya saat hari raya lebaran saja,piyambake sedaya tedha daging namung kala riyadi wiyaran kamawon 
"Mereka adalah guru , ustad , pengurus RT setempat , tukang ojek , dan ibu rumah tangga","piyambake sedaya yaiku guru , ustad , pangera RT sapanggen , tukang ojek , uga ibu griya tangga "
Dari hasil FGD di RT 1 RW 6 diperoleh empat klasifikasi kesejahteraan keluarga,saking pikantuk FGD ing RT 1 RW 6 dipundeningaken sekawan klasifikasi kesejahteraan keluarga 
"(1) kaya atau beunghar , (2) menengah atau sedeng , (3) miskin , dan (4) fakir","(1) sugih utawi beunghar , (2) madya utawi sedeng , (3) miskin ,uga (4) fakir "
Lain halnya lagi dengan keluarga yang tergolong fakir,benten halnya malih kaliyan keluarga ingkang kalebet fakir 
"Pada umumnya mereka adalah pengangguran , dan jika bekerja , biasanya mereka bekerja secara serabutan","ing umumnya piyambake sedaya yaiku pengangguran , uga menawi nyambut damel , biyasanipun piyambake sedaya nyambut damel sacara serabutan "
"Kalau memiliki sambungan listrik dari PLN sendiri , biasanya mendapat bantuan dari anaknya yang sudah bekerja","menawi nggadhahi sambetan listrik saking PLN piyambak ,biyasanipun nyaged bantuan saking anakipun ingkang sampun nyambut damel "
"Mereka memiliki sepeda motor yang dibeli secara kredit dan bila memasak , mereka menggunakan kayu bakar","piyambake sedaya nggadhahi sepeda montor ingkang dipuntumbas sacara kredit uga menawi mangsak , piyambake sedaya ngginakaken kajeng besem "
"Mereka tidak memiliki sawah; memiliki rumah panggung atau papan yang tidak dicat , yang tidak ada aliran listriknya","piyambake sedaya mboten nggadhahi sabin; nggadhahi griya panggung utawi papan ingkang mboten dipuncet , ingkang mboten enten aliran listrikipun "
"Bila memasak , mereka menggunakan kayu bakar","menawi mangsak , piyambake sedaya ngginakaken kajeng besem "
3.4 Indikator Kesejahteraan Keluarga di Desa Kedondong FGD di Desa Kedondong diikuti oleh 11 laki-laki dan lima perempuan,3.4 Indikator Kesejahteraan Keluarga ing dhusun KedondongFGD ing dhusun Kedondong dipunndhereki dening 11 kakung uga gangsal estri 
"guru , ustad , pengurus RW , aparat desa , anggota BPD , bidan , dan kader PKK","guru , ustad , pangera RW , aparat dhusun , anggota BPD , bidan, uga kader PKK "
Dari hasil FGD di tingkat desa ini diperoleh tiga klasifikasi kesejahteraan keluarga,saking pikantuk FGD ing tingkat dhusun niki dipundeningaken telu klasifikasi kesejahteraan keluarga 
"(1) kaya atau sugih , (2) cukup atau sedheng , dan (3) melarat","(1) sugih utawi sugih , (2) cekap utawi sedheng , uga (3) melarat "
Ketiga klasifikasi tersebut didasarkan atas tujuh indikator kesejahteraan keluarga,ketelu klasifikasi kesebat didasarkan inggil pitu indikatorkesejahteraan keluarga 
"keluarga cukup memiliki rumah yang sederhana dengan lantai plester atau tegel hitam , KM/WC di luar rumah , dan listrik 450 Watt","keluarga cekap nggadhahi griya ingkang sederhana kaliyan lantai plester utawi tegel cemeng , KM/WC ing njawi griya , uga listrik 450 Watt "
"Untuk keluarga melarat , ada yang memiliki rumah","konjuk keluarga melarat , enten ingkang nggadhahi griya "
"Bagi mereka yang memiliki rumah , biasanya rumah mereka terbuat dari bambu (gedhek) , berlantai tanah","kunjuk piyambake sedaya ingkang nggadhahi griya , biyasanipun griya piyambake sedaya kedamel saking deling (gedhek) ,berlantai siti "
"mandi di sungai , dan menyambung (nyalur) aliran listrik untuk penerangan di rumah dari rumah tetangga","adus ing lepen , uga nyambet (nyalur) aliran listrik konjuk panempuhan ing griya saking griya tanggi "
"Anak-anak dari keluarga cukup berpendidikan antara SD hingga sarjana , s","anak-anak saking keluarga cekap berpendidikan antawis SDngantos sarjana , s "
"Pekerjaan-pekerjaan tersebut diidentifikasi sebagai bidan , kepala sekolah (SD maupun SMP) , kepala desa , dan sekretaris desa","padamelan-padamelan kesebat diidentifikasi dados bidan , sirah sekolah (SD kersaa SMP) , sirah dhusun , uga sekretaris dhusun "
"Pekerjaan dari keluarga cukup pada umumnya adalah guru , petani , dan pedagang","padamelan saking keluarga cekap ing umumnya yaiku guru ,petani , uga panggramen "
"keluarga yang melarat pada umumnya bekerja sebagai kuli , buruh , atau sebagai mayeng (pemulung)","keluarga ingkang melarat ing umumnya nyambut damel dados kuli , berah , utawi dados mayeng (pamambajeng) "
Kelompok keluarga melarat pada umumnya berobat ke puskesmas atau menggunakan jamu,Kelompok keluarga melarat ing umumnya njampi datheng puskesmas utawi ngginakaken jampi 
"Keluarga melarat umumnya makan dengan sayur , kadang dengan tahu atau tempe seadanya","Keluarga melarat umumnya tedha kaliyan sayur , kadang kaliyan mangertos utawi tempe saentenipun "
"Kalau makan dengan ikan , biasanya yang harganya murah","menawi tedha kaliyan ulam , biyasanipun ingkang reginipun mirah "
