"Manusia membutuhkan makanan dan air supaya menjadi kuat dan sehat, begitu juga tanaman","Manungsa butuh pangan lan banyu dadi kuwat lan sehat, supaya tetanduran"
Tukang-tukang pukul itu pada melongo karena terkejutnya.,Tukang-tukang kepruk iku padha ndomblong saking kagete.
Ternyata musuhnya itu seseorang yang sakti.,Pranyata mungsuhe iku sawijining wong sing sekti.
"Bagaimana, apa kamu semua masih mau melawan aku? Gertak Raden Anom Pamungkas.","Kepriye, apa kowe kabeh isih ngarep nglawan aku? Panggertake Raden Anom Pamungkas."
Tukang-tukang pukul bertiga itu cuma diam sambil gemetar badannya ketakutan.,Tukang-tukang kepruk telu iku mung meneng karo ngewel awake kaweden.
Mereka pada terpaku juga malu sebab dibuat malu di depan orang banyak.,Dheweke pada njegrik uga isin sebab digawe isin ing sangarepe wong akeh.
"Yang punya warung makan keluar kemudian berkata, ""Teryata anda orang yang sakti.""","Sing duwe warung mangan metu banjur kandha, ""Pranyata panjenengan tiyang ingkang sekti."""
Oleh sebab itu saya mohon maaf tingkah tukang pukul saya ini.,Awit saking punika kula nyuwun ngapunten pokalipun tukang kepruk kula punika.
"Sekarang apa yang kau minta akan saya turuti, asal anda tidak membuat rusak dan mengganggu ketentraman di sini.","Sapunika menapa ingkang kokersakaken badhe kula landosi, asal panjenengan boten damel rusak lan ngganggu katentreman ing mriki."
Raden Anom Pamungkas melihat yang punya warung makan.,Raden Anom Pamungkas nyawang sing duwe warung mangan.
Sepertinya yang punya warung makan itu bisa dimanfaatakan.,Sajake sing duwe warung mangan iku bisa dimanpaatake.
"Sekarang dirinya punya sebuah tempat, di sana dirinya bisa tidur dengan nyaman.","Saiki dheweke duwe sawijining panggonan, ing kono dheweke bisa turu kanthi nyaman."
Jika lapar orang ini tentu mau menyiapkan makanan kepada dirinya.,Manawa luwe wong iki mesthi gelem nyawisake panganan marang dheweke.
Iya Paman. Kumaafkan kelakuan anak buahmu yang kurang ajar ini.,Iya Paman. Dakapura kelakuwane anak buahmu sing kurang ajar iki.
Mulai hari ini aku akan tinggal di sini dan kamu harus melayani aku sebaik-baiknya.,Wiwit dina iki aku bakal manggon ing kene lan kowe kudu nglayani aku sakapik-apike.
"Yang punya warung makan itu cuma mengangguk, meskipun di batinnya mengupat.","Sing duwe warung mangan iku mung manthuk, sanadyan ing batine misuh-misuh."
Ya biar untuk beberapa waktu dirinya mengikuti apa keinginannya sampai dapat pertolongan orang sakti lainnya yang bisa menandingi dirinya.,Ya kareben kanggo sawatara wektu dheweke nuruti apa kekarepane nganti entuk pitulungan wong sekti liyane sing bisa nandhingi dheweke.
Hukuman Begawan Tunggul Manik.,Hukuman Begawan Tunggul Manik.
Ternyata susah sekali mencari orang yang kesaktiannya lebih tinggi daripada Raden Anom Pamungkas.,Pranyata angel banget nggolek wong sing kesaktene luwih dhuwure tinimbang Raden Anom Pamungkas.
Meskipun yang punya warung makan itu sudah berusaha mencari orang-orang pintar dan menjanjikan hadiah yang besar kepada siapa saja yang bisa mengalahkan pemuda sakti itu.,Sanadyan sing duwe warung mangan mau wis ihtiyar golek wong-wong pinter lan njanjeni hadhiyah sing gedhe tumrap sapa bae sing bisa ngalahake nom-noman sekti iku.
Setiap hari orang pintar yang datang dikalahkan oleh Raden Anom Pamungkas.,Saben dina wong pinter sing teka dikalahake dening Raden Anom Pamungkas.
Pemuda itu semkain besar kepala.,Nom-noman iku saya gumedhe.
Sekarang dirinya mengangkat dirinya sendiri sebagai raja kecil dengan warung makan itu seperti keratonnya.,Saiki dheweke ngangkat awake dhewe minangka raja cilik kanthi warung mangan iku kaya kratone.
Yang punya warung makan dijadikan pembantu yang harus mengikuti semua keinginannya.,Sing duwe warung mangan didadekake abdi sing kudu nuruti sakabehing kekarepane.
Dirinya mengalahkan orang banyak dan kemudian dijadikan pembantu-pembantunya.,Dheweke ngalahake wong akeh lan banjur didadekake pembantu-pembantune.
"Untuk menambah kekayaannya, dirinya menarik pajak yang besar dari para orang-orang kaya.","Kanggo nambah sugihe, dheweke narik pajeg sing gedhe saka para wong-wong sugih."
Jika ada yang tidak mau nyawa taruhannya.,Manawa ana sing ora gelem nyawa totohane.
Raden Anom Pamungkas jadi terkenal.,Raden Anom Pamungkas dadi kondhang.
Julukannya yaitu Raden Anom.,Julukane yaiku Raden Anom.
Setiap orang takut dan menurut kepada dirinya.,Saben wong padha wedi lan manut marang dheweke.
Raden. Seorang pengawalnya Raden Anom menghadap.,Raden. sawijining pengawale Raden Anom ngadhep.
Raden Anom yang sedang duduk di kursi melihat pembantunya dengan tajam.,Raden Anom sing lagi linggih ing kursi nyawang pembantune kanthi tajem.
"Bagaimana, Paman? Apa kamu sudah pergi ke rumahnya Tuan Sastro?","Kepriye, Paman? Apa kowe wis lunga menyang omahe Den Sastro?"
Sudah Raden.,Sampun Raden.
"Bagus, bagaimana? Apa Raden Sastro menerima lamaranku kepada puterinya?","Bagus, kepriye? Apa Raden Sastro nampa lamaranku marang putrine?"
Raden Sastro tidak menjawab Tuan.,Raden Sastro boten wangsulan Den.
Dirinya cuma mengatakan mau memikirkan dulu hal ini.,Piyambakipun namung sanjang badhe mikiraken rumiyin bab punika.
Apa?! Raden Anom Pamungkas menggebrak meja.,Apa?! Raden Anom Pamungkas nggebrak meja.
Dirinya merasa tidak senang dengan jawaban itu.,Dheweke rumangsa ora lega karo wangsulan iku.
Memang kurang ajar benar Raden Sastro!,Pancen kurang ajar tenan Raden Sastro!
Kenapa dirinya tidak terus menerima lamaranku?,Ngapa dheweke ora terus nampa lamaranku?
Apa lagi yang dipikirkan.,Apa maneh sing dipikirake.
"Aku seorang pemuda keturunan bangsawan, tampan, kaya harta lagi sakti.","Aku sawijining nom-noman keturunan bangsawan, bagus, sugih bandha tur sekti."
Apa lagi yang harus dipikirkan?,Apa maneh sing kudu dipikirake?
Saya tidak mengerti Raden.,Kula boten mangertos Raden.
Berapa hari Raden Sastro meminta waktu?,Pira dina Raden Sastro njaluk wektu?
"Seminggu, Raden.","Seminggu, Raden."
Ya sudah seminggu. Awas kalau jawabnya mengecewakan!,Ya wis seminggu. Awas yen wangsulane nggelakake!
Mau kuhancurkan keluarga sombong itu!,Arep dakancurake keluarga angkuh iku!
"Waktu seminggu berjalan dengan cepat, sekarang waktunya Raden Sastro memberi jawaban kepada lamarannya Raden Anom Pamungkas.","Wektu seminggu lumaku kanthi cepet, saiki wektune Raden Sastro manehi wangsulan tumrap lamarane Raden Anom Pamungkas."
Keluarga bangsawan itu merasa deg-degan sekali.,Keluarga bangsawan iku rumangsa dheg-dhegan banget.
Dirinya mengerti kalau Raden Anom Pamungkas itu seorang pemuda yang hebat dan kaya.,Dheweke mangerti manawa Raden Anom Pamungkas iku sawijining nom-noman sing hebat lan sugih.
Tapi cintanya dirinya itu senang berbuat jahat dan angkuh.,Nanging emane dheweke iku seneng tumindak ala lan angkuh.
"Sampai hari yang sudah dijanjikan Raden Sastro belum memberi keterangan ingin menerima, tapi ingin menolak dirinya tidak berani.","Nganti dina sing wis dijanjekake Raden Sastro durung manehi katrangan arep nampa, nanging arep nolak dheweke ora wani."
Sekarang keluarga itu sedang berkumpul di kamar tengah.,Saiki keluarga iku lagi ngumpul ana ing kamar tengah.
Dirinya sedang mencari cara yang paling pas untuk menetapkan masalah ini.,Dheweke lagi golek cara sing paling pas kanggo netepake masalah iki.
Sebentar lagi utusan dari Raden Anom akan datang.,Sadhela maneh utusan saka Raden Anom bakal teka.
Tapi hingga sekarang aku belum bisa memberi ketetapan.,Nanging engga saiki aku durung bisa manehi ketatepan.
Kata Raden Sastro bersuara serak karena hatinya was-was.,Ngendikane Raden Sastro groyok alit panggalihe was-was.
"Ayah, bagaimanapun juga saya tidak mau menerima lamaran Raden Anom yang jelek perilakunya.","Rama, kadospundi kemawon kula boten purun nampi lamaranipun Raden Anom ingkang awon tumindakipun."
"Kata Intan Sari, puterinya Raden Sastro.","Ature Intan Sari, putrine Raden Sastro."
Ayah ya mengerti Intan. Ayah juga tidak mengikhlaskan jika kamu diperistri oleh Raden Anom.,Rama ya ngerti Intan. Rama uga ora ngeklasake manawa sira digarwa dening Raden Anom.
"Tapi bagaimana caranya menolak, kamu juga mengerti sendiri lah.","Nanging kepriye carane nolak, sira uga ngerti dhewe ta."
Raden Anom seseorang paling kuasa di kota sini.,Raden Anom sawijining wong paling kuwasa ing kutha kene.
Siapa saja yang membangkang akan celaka.,Sapa bae sing mbangkang bakal cilaka.
Semua pada diam.,Kabeh padha meneng.
Masalah ini memang susah.,Perkara iki pancen angel.
"Ayah, kita harus bagaimana? Tanya Intan kepada Ayahnya.","Rama, kita kedah kadospundi? Pitakone Intan marang Ramane."
"Sudah, sekarang katetepan Ayah sudah matang.","Wis, saiki katetepane Rama wis mateng."
Aku ingin menolak lamaran ini.,Aku arep nolak lamaran iki.
Kangmas! istrinya Raden Sastro kaget sekali mendengar ucapan suaminya.,Kangmas! garwane Raden Sastro kaget banget mireng ngandikane garwane.
"Ya, sudah tidak ada jalan lain.","Ya, wis ora ana dalan liya."
Dilihat saja apa yang akan dilakukan anak buahnya Raden Anom jika kita menolak.,Dideleng bae apa sing arep ditindakake anak buahe Raden Anom manawa kita nolak.
Lebih baik kita mati bersama daripada mendapat menantu yang senang berbuat jahat itu.,Luwih becik kita mati bareng tinimbang entuk mantu sing seneng tumindak ala iku.
Semua pada mengangguk-angguk.,Kabeh padha manthuk-manthuk.
Ucapan Raden Sastro memang benar.,Ngendikane Raden Sastro pancen bener.
Biar resiko yang seperti apapun akan dihadapi bersama.,Kareben resiko sing kaya ngapa bakal diadhepi bebarengan.
Selanjutnya Raden Sastro sekeluarga menunggu utusan anak buahnya Raden Anom dengan jantung deg-degan.,Sabanjure Raden Sastro sakeluarga padha ngenteni utusan anak buahe Raden Anom kanthi jantung dheg-dhegan.
"Tuan, utusan Raden Anom sudah datang.","Den, utusanipun Raden Anom sampun dhateng."
Ucap seorang pembantu yang datang dengan tergesa-gesa.,Ature sawijining abdi sing teka kanthi kesusu.
Suruh masuk dia di ruang tamu.,Aturana padha mlebu dheweke ana ing kamar tamu.
Iya. Pembantu itu cepat lari ke halaman.,Inggih. Abdi iku enggal mlayu menyang latar.
Para utusan itu dipersilahkan duduk di ruang tamu.,Para utusan iku diaturi lungguh ing kamar tamu.
Mereka menunggu Raden Sastro dan keluarganya.,Dheweke pada ngenteni Raden Sastro lan keluargane.
"Tidak berapa lama, Raden Sastro dan istrinya datang, juga puterinya Intan Sari.","Ora watara suwe, Raden Sastro lan garwane metu, uga putrine Intan Sari."
"Setelah saling salam salaman, utusan Raden Anom ngomong.","Sawise pada bage binage, utusan Raden Anom ngomong."
Raden Sastro berhubung sekarang sudah sampai waktunya saya beserta teman-teman mendengar jawaban dari Raden Sastro.,Raden Sastro wusananipun sapunika sampun dumugi wancinipun kula sakanca mireng atur wangsulan saking Raden Sastro.
"Raden Sastro mengangguk, ""Tentu saja, aku ingin memberi jawaban sekarang juga.""","Raden Sastro manthuk, ""Mesthi bae, aku arep manehi wangsulan saiki uga."""
"Para utusan, aku sekeluarga merasa bangga sekali dengan kalian semua, juga dengan niat baik tuanmu melamar Intan Sari puteriku.","Para utusan, aku sakeluarga rumangsa bombong banget karo sira kancana, uga kanthi niyat becik bendaramu nglamar Intan Sari putriku."
Tapi cinta sekali lamarannya tidak bisa kuterima atau kutolak.,Nanging eman banget panglamare ora bisa daktampa utawa daktampik.
Apa?! Para utusan itu pada kaget.,Apa?! Para utusan iku padha kaget.
Wajahnya para utusan itu merah padam menahan marah.,Praene para utusan iku abang ireng nahan nepsu.
"Para utusan, sekali lagi aku meminta maaf.","Para utusan, sepisan maneh aku njaluk ngapura."
"Raden Anom seorang pemuda yang paling hebat di kota ini, sedangkan puteriku cuma wanita biasa yang tidak pantas diperistri Raden Anom.","Raden Anom sawijining nom-noman sing paling hebat ing kutha kene, dene putriku mung wanita biasa sing ora patut digarwa Raden Anom."
Raden Sastro berusaha menerangkan alasan menolak dengan halus.,Raden Sastro ihtiyar nerangake alesan anggone nampik kanthi alus.
Para utusan itu berdiri dari duduknya dengan marah.,Para utusan iku padha ngadeg saka linggihe karo nepsu.
Oh begitu! Jadi kamu menolak lamaran ini!,Oh ngono! Dadi kowe nampik lamaran iki!
Coba lihat apa yang akan menimpa kepada kamu sekeluarga jika hal ini kulaporkan kepada Raden Anom.,Coba delengan apa sing bakal tumiba marang kowe sakeluarga manawa bab iki daklapurake marang Raden Anom.
Tanpa tatakrama lagi utusan itu kemudian pergi tanpa pamit dari rumahnya Raden Sastro.,Tanpa tatakrama maneh utusan iku banjur lunga klepat saka daleme Raden Sastro.
"Raden Sastro menarik nafas panjang, sedih.","Raden Sastro nyerot ambegan dawa, sedhih."
Sekarang aku harus menyiapkan diriku untuk menghadapi bahaya yang akan datang.,Saiki aku kudu nyiapake awakku kanggo ngadhepi bebaya sing bakal teka.
Raden Sastro kemudian menyuruh para pembantunya untuk jaga-jaga.,Raden Sastro banjur ndhawuhi para pembantune kanggo jaga-jaga.
Dirinya juga mengumpulkan semua tukang pukulnya.,Dheweke uga ngerigake kabeh tukang kepruke.
Apa yang akan terjadi semua harus melawan sampai mati.,Apa sing bakal kedadeyan kabeh kudu nglawan nganti mati.
"Para wanita dimasukkan di dalam kamar rahasia, di sana dirinya harus sembunyi dan tidak boleh keluar jika anak buahnya Raden Anom mengamuk.","Para wanita dilebokake ing sajroning kamar winadi, ing kono dheweke kudu ndhelik lan ora oleh metu manawa anak buahe Raden Anom ngamuk."
Raden Anom marah sekali mendengar kabar yang dibawa oleh para utusannya.,Raden Anom nepsu banget krungu kabar sing digawa dening para utusane.
Selama ini tidak ada orang yang berani menolak keinginannya.,Sasuwene iki ora ana wong sing wani nolak pepinginane.
"Malah para keluarga bangsawan pada kepingin puterinya diperistri oleh Raden Anom, tapi Raden Anom menolak.","Malah para keluarga bangsawan padha kepengin putrine digarwa dening Raden Anom, nanging Raden Anom nolak."
"Walaupun dirinya ini senang berbuat jahat dan besar kepala, tapi dirinya itu tidak gila seorang perempuan.","Sanajanta dheweke iki seneng tumindak ala lan gumedhe, nanging dheweke iku ora edan wong wedok."
"Awal sekali dirinya melihat Intan Sari duduk ada di pendopo, dirinya tertarik sekali.","Wiwitane sepisan dheweke weruh Intan Sari linggih ana ing pendhapa, dheweke ketarik banget."
Semenjak dirinya melihat yang pertama itu dirinya kasmaran kepada Intan Sari.,Saploke dheweke weruh sing sepisan iku dheweke kasmaran marang Intan Sari.
"Selanjutnya dirinya punya niat baik ingin memperistri Intan Sari, keluarganya malah menolak.","Sabanjure dheweke duwe niat becik arep ngepek nojo Intan Sari, keluargane malah nampik."
Siapakan anak buah kita!,Siapake anak buahe dhewe!
Culik Intan Sari dan hancurkan keluarganya Raden Sastro yang sombong itu!,Culik Intan Sari lan diremuk keluargane Raden Sastro sing angkuh iku!
Siap!,Siap!
Tanpa membuang waktu lagi anak buahnya Raden Anom sebanyak orang dua puluh yang rata-rata memiliki kepandaian yang lumayan pergi ke rumahnya Raden Sastro.,Tanpa mbuwang wektu maneh anak buahe Raden Anom cacah wong rong puluh sing rata-rata duweni kepinteran sing lumayan lunga menyang omahe Raden Sastro.
Selanjutnya pertempuran tidak bisa dihindari lagi.,Sabanjure paprangan ora bisa disingkiri maneh.
Orang sepuluh anak buahnya Raden Sastro berusaha melindungi keselamatan keluarga itu dengan mati-matian.,Wong sepuluh anak buahe Raden Sastro ihtiyar ngayomi keslametan keluarga iku kanthi mati-matian.
Begitu juga Raden Sastro yang memiliki ilmu silat yang tinggi juga mengamuk.,Semono uga Raden Sastro sing duweni ilmu silat sing dhuwur uga ngamuk.
"Raden Sastro menghadapi keroyokan orang lima, sedangkan anak buahnya menghadapi keroyokan orang limabelas.","Raden Sastro ngadhepi kroyokane wong lima, dene anak buahe ngadhepi kroyokan wong limalas."
Para wanita yang sembunyi gemetar ketakutan.,Para wanita sing padha ndhelik ngewel kaweden.
"Dirinya khawatir sekali, lebih-lebih Intan Sari yang menangis terus dan menyalahkan dirinya sendiri.","Dheweke kuwatir banget, luwih-luwih Intan Sari sing nangis terus lan nyalahake dheweke dewe."
"Oh ibu, semua ini gara gara saya, saumpama saya menerima lamaran ini tentu tidak terjadi seperti ini.","Oh ibu, sedaya punika awit badan kula, saumpami kula nampi lamaran punika tentu boten kedadosan kadospunika."
"Sudah, sudah Nak Intan, jangan menyalahkan sirimu.","Uwis, uwis Ngger Intan, aja nyalahake awakmu."
"Bapakmu benar, lebih baik perang mati-matian daripada kamu harus jadi istrinya orang yang senang berbuat jahat. Hibur Ibunya Intan","Bapakmu bener, luwih becik perang mati-matian tinimbang kowe kudu dadi bojone wong sing seneng tumindak ala. Panglipure Ibune Intan"
"Namun Ibu, banyak sekali yang jadi tumbal untuk saya.","Nanging Ibu, kathah sanget ingkang dados banten kagem kula"
Intan hidup ini memang penuh perjuangan dan pengorbanan.,Intan urip iki pancen kebak ing perjuwangan lan pengorbanan.
Yang penting apa pengorbanan kita ini untuk kebaikan atau untuk berbuat jahat.,Sing penting apa pengorbanane awake dhewe kanggo kabecikan apa kanggo tumindak ala.
"Intan Sari mengerti, dirinya kemudian berhenti menangis.","Intan Sari mangerti, dheweke banjur meneng anggone nangis."
Tapi tetap saja dirinya tidak bisa menghilangkan kesedihan hati.,Nanging tetep bae dheweke ora bisa ngilangi sedhihing ati.
Dari lobang kunci dirinya bisa melihat kejadian di luar dengan jelas.,Saka bolongan kunci dheweke bisa weruh kedadeyan ing njaba kanthi cetha.
"Meskipun Raden Sastro dan anak buahnya pada mati-matian melawan dan sudah mengeluarkan segala kepandaiannya, lama-lama mereka kewalahan.","Sanadyan Raden Sastro lan anak buahe padha mati-matian nglawan lan wis ngetokake sakehing kapinterane, suwe-suwe dheweke kuwalahan."
Musuhnya memang banyak dan ilmunya rata-rata cukup tinggi karena diajari oleh Raden Anom.,Mungsuhe pancen akeh lan ngelmune rata-rata cukup dhuwur amarga diwuruki dening Raden Anom.
"Akhirnya sudah menginjak seratus jurus, Raden Sastro dan anak buahnya semakin terdesak.","Wusanane wis ngancik satus jurus, Raden Sastro lan anak buahe saya keseser."
Sementara anak buahnya malah ada yang sudah mati.,Sawatara anak buahe malah ana sing wis mati.
"Raden Sastro semakin kecapekan, bertambah lagi usianya yang sudah tua, tenaganya sudah lemah.","Raden Sastro saya kekeselen, kawuwuhan maneh yuswane sing wis tuwa, tenagane wis ringkih."
